0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,label
27.727953,0.1122445,26.205467,27.430273,28.267433,2.061966,0.02712478,0.0,0.0,0.0,0.10211057,0.93587023,0.031355526,0.037118837,0.20234704,0.17099151,1.4148529,0.9885977,1.6640568,0.9611543,0.0239249,1.1790371,28.088192,0.33798128,3.2656891,2.0678234,16.557934,1.2515333,12.341583,0.8916318,0.013012937,1.3494478,1.1163836,0.9680448,7.514773,0.32067934,-1.427876,-3.2870572,16.208332,0.4189425,478.3211,0.36909857,1111.4524,0.16704966,-130.827,-0.7015515,1609.8156,0.1083895,751.1347,0.45916307,-137.08595,-0.60016984,2505.3516,0.09670443,951.53284,0.3014185,-135.83969,-0.6183864,-15.955595,-0.3897266,20.358128,0.33529353,0.07006114,0.32193565,-0.026350986,-0.4323519,0.05165895,0.5107357,35.67806,0.2667162,3.9485176,2.3029788,35.98061,0.6045276,20.751127,0.5890428,-11.277321,20.416185,0.033040367,-0.008612108,0.008302132,2.5252526,1.0230179,0.35,0.13133925,0.484,0.32806095,-48.5538,sad
26.164305,0.05495411,25.01572,26.808014,27.449282,2.4335613,6.9484634,0.9502543,9.191366,0.92143583,0.12363306,0.725007,0.03342673,0.104664296,0.21596605,0.18253931,1.6702105,1.0206962,1.7927219,1.1460408,0.03083082,0.8984551,30.462234,0.5492345,7.1853924,1.1831154,10.772203,1.0049849,8.9544935,1.2972841,0.016771393,0.96951604,1.1948004,0.88995135,6.5441165,0.35735995,0.7955169,6.1926627,24.661978,0.31692672,455.66275,0.2652325,1344.0254,0.14067912,-106.744286,-0.8824315,1421.0032,0.14443398,1092.3456,0.28814813,-114.475174,-0.7538052,2391.8352,0.07879487,982.9458,0.4949757,-117.653175,-0.7043303,-17.626663,-0.28497306,26.501137,0.27120638,0.05739366,0.39121735,-0.022425473,-0.51021427,0.0492775,0.5254504,42.567074,0.22577718,8.521184,1.2200965,10.195107,1.3089145,12.633618,1.0741991,-9.039951,16.569557,0.026796518,-0.0070383577,0.014774717,3.7433155,1.6483517,0.28666666,0.22171052,0.2225,0.12968713,-48.746994,sad
27.198639,0.052455243,25.800163,27.505919,28.211014,2.4108505,78.544426,109.22271,1.8069487,14.897796,0.23942891,0.78393394,0.038636263,0.23602873,0.38858604,0.34994978,3.1414127,1.4602661,3.256758,1.1479703,0.08950029,0.8475821,32.09657,0.39189455,8.635159,1.3256276,19.98963,0.85221726,15.047557,0.7717675,0.010738104,0.86430395,1.212691,0.9653203,7.1016216,0.33246496,2.9281037,1.6085328,27.780107,0.25304425,468.01068,0.41486928,1229.6912,0.18845502,-69.21931,-1.2244585,1513.864,0.16466996,1000.6873,0.35330212,-80.06544,-0.96010387,2518.7551,0.094858885,989.12933,0.39004427,-84.21564,-0.8772561,-18.265652,-0.53161454,27.14178,0.30568781,0.063419126,0.39979887,-0.012317495,-0.81569415,0.121779725,0.55692863,36.238808,0.2923694,9.616986,1.3658329,24.729706,0.7191258,18.40956,0.6523699,-12.794324,22.39764,0.03999109,-0.0065013226,0.026843864,3.9548023,2.3391814,0.2875,0.17297037,0.12,0.10977249,-39.0594,neutral
24.973322,0.12151212,23.990314,24.663494,25.588346,1.598032,0.227237,0.0,0.0,0.0,0.18716292,0.7691957,0.03512033,0.17552167,0.32904106,0.29392073,3.2276168,1.8826026,2.9100254,1.3495187,0.06549958,0.983675,24.128515,0.7861967,9.532241,1.1665303,11.10526,1.4436382,13.330453,0.9818503,0.027702894,1.251743,1.462084,0.7954542,4.6536984,0.6595565,1.8774018,2.6040764,26.6919,0.3806388,496.75113,0.45785534,1205.2273,0.23282877,-103.63201,-0.91465896,1464.2893,0.19882531,916.1007,0.3441306,-112.09948,-0.7637093,2470.8518,0.12514628,748.04803,0.24272959,-114.14612,-0.7271284,-17.882147,-0.5019995,25.792158,0.41295296,0.05055724,0.6658158,-0.019260516,-0.8067317,0.11358898,0.5181024,34.31507,0.37589547,13.57042,0.85709625,13.679762,1.4913406,19.31822,0.71564066,-5.5172987,12.810512,0.037544865,-0.0054895994,0.018648444,3.8709679,1.6393443,0.29799998,0.12734206,0.24166666,0.14746939,-42.306873,neutral
26.027487,0.17581694,24.267176,25.346252,26.432537,2.1653614,65.54178,48.667435,344.72433,456.1143,0.20034327,0.69597876,0.03924559,0.18643123,0.32678396,0.28753835,3.1975935,1.5707365,2.6933143,1.0410137,0.06124877,0.7956718,25.546982,0.6759082,5.7225637,1.9507638,14.43818,1.1416526,16.685791,0.88974464,0.02062249,1.2255594,1.339846,0.7916459,4.883872,0.67486703,1.522088,5.216664,19.911646,0.62289214,464.30035,0.36777955,1231.5186,0.2509972,-87.336426,-1.0445684,1456.7323,0.15295814,909.08563,0.2815106,-94.09169,-0.8959971,2429.648,0.09916093,829.7649,0.23188074,-96.01913,-0.86000305,-14.361311,-0.7395871,22.908258,0.46945044,0.05030084,0.51744187,-0.018866653,-0.7901857,0.08816184,0.47776857,32.940533,0.41515532,5.804506,2.2101564,16.768272,1.127142,22.09732,0.6856918,-6.8442025,14.481309,0.030847872,-0.0071891546,0.023358414,4.954955,2.7334852,0.2075,0.17659393,0.162,0.14358272,-43.88052,disgust
25.540667,0.062995315,23.826088,25.360607,27.186607,3.3605194,25.375414,23.612728,14.712682,9.8169985,0.2695679,0.7487701,0.06538222,0.23830064,0.37440667,0.30902445,3.4111638,2.246713,2.2431962,1.1246772,0.07469117,0.8031041,32.835094,0.38730046,13.312786,0.8894808,7.1105084,2.0865922,13.358483,1.0025837,0.011550061,0.8545973,0.8122061,0.8925077,6.637323,0.32985252,5.7009745,1.2277544,27.65724,0.38522577,461.32666,0.2869522,1240.9221,0.17766336,-58.682255,-1.3972024,1423.0125,0.13259986,912.62476,0.25915995,-68.98095,-1.105586,2463.4133,0.07659441,786.50305,0.2942859,-74.91709,-0.9729505,-18.78945,-0.49003184,28.058393,0.36315086,0.03407423,0.90104395,-0.029042212,-0.5713551,0.09357095,0.63294095,35.88149,0.30065778,13.133176,1.0015287,8.536387,1.9226272,12.338445,1.1286615,-15.09473,27.816408,-0.0010494302,-0.0069598723,0.02266116,3.7433155,1.6574587,0.43666667,0.21296844,0.14666666,0.105303794,-40.831093,neutral
31.00575,0.16997927,28.456106,31.013697,32.50889,4.052782,341.0049,261.12488,48.457386,32.94009,0.25330287,0.7572841,0.037265923,0.27011952,0.4450191,0.40775317,2.5330303,2.622161,3.1377606,1.9133754,0.094348826,0.99822533,24.191456,0.7081375,18.114553,0.60140336,12.17221,1.1771237,11.821255,1.2587167,0.021845717,1.2043201,0.9621819,1.045485,7.786744,0.5180403,9.301342,0.83915937,30.683626,0.46526015,473.36716,0.44200087,1115.3054,0.34020585,-98.9178,-0.9459292,1486.9552,0.23646319,801.5329,0.2688973,-104.65215,-0.7898266,2599.563,0.103130065,714.47144,0.328598,-108.24166,-0.7318064,-20.373985,-0.61101115,29.417782,0.45275036,0.06908478,0.42602345,-0.01677039,-1.0167505,0.15394883,0.5670813,27.58404,0.64226156,24.196726,0.38749182,14.203428,1.2458777,8.995568,2.093134,-11.902213,21.398827,0.006298332,-0.0053160666,0.026948536,4.117647,1.8292683,0.29666665,0.11897712,0.17,0.16201851,-36.39991,neutral
29.149652,0.17510702,26.066145,28.733362,30.962057,4.895912,234.44499,411.87268,155.06664,200.39622,0.26193073,0.59543824,0.046108797,0.2922306,0.401261,0.3551522,3.0759058,1.5397325,1.7117399,0.9675581,0.09302371,0.77952826,29.366459,0.5434328,16.827246,0.8516229,6.2984343,2.3913705,13.282638,1.306187,0.022063173,1.1312277,0.78525954,0.9032209,7.301151,0.44239512,4.262384,1.8483909,29.761135,0.45334533,451.84006,0.3779836,1241.4695,0.21155284,-69.1806,-1.2437102,1391.0665,0.18170278,944.21545,0.32599372,-77.69343,-0.98372656,2532.2864,0.087215535,786.61975,0.29038623,-85.903275,-0.8265455,-21.459175,-0.51702744,31.893211,0.33684614,0.050679777,0.7722217,-0.020677619,-1.1529176,0.124954924,0.5091551,33.42368,0.4327471,21.22293,0.6691273,6.934964,2.3700976,13.677073,1.4801513,-10.332139,20.884829,0.022677442,0.0013985387,0.024827445,3.8297875,2.183406,0.312,0.22497998,0.14999999,0.16896746,-37.89782,neutral
27.837019,0.329196,24.494062,25.043844,26.73674,2.2426777,1245.807,1491.831,110.69051,72.00487,0.22277676,0.74508363,0.031642098,0.25524133,0.33111644,0.29947433,2.6672432,1.2990605,2.4012485,1.5635251,0.058726758,0.8525748,27.378279,0.6655956,14.388967,0.82839453,6.338964,1.9459481,7.3348794,2.0540514,0.014718941,0.9672563,0.9259186,0.95212954,5.767933,0.525213,3.1423728,1.8164282,27.917189,0.30337474,403.4514,0.24103528,1163.3804,0.25359288,-86.08417,-1.0762229,1301.8021,0.13678655,872.3978,0.27057648,-90.678894,-0.948135,2450.067,0.04839634,633.0051,0.36363417,-96.47097,-0.82556987,-16.662628,-0.783923,25.486366,0.52629066,0.037893593,0.57278055,-0.026623566,-0.97828966,0.08526526,0.5094842,31.408392,0.61804956,16.816517,0.8061505,5.332058,2.6971066,5.1335063,3.4859986,-12.601601,21.314657,-0.0038042995,-0.0052771578,0.01973021,2.1818182,1.858736,0.322,0.24399999,0.16166666,0.15752424,-42.100323,neutral
26.026367,0.16710603,24.7393,25.535442,26.72619,1.9868908,30.015242,20.094704,85.353195,72.786835,0.21685994,0.7796566,0.030773452,0.20076928,0.3940165,0.36324304,2.546624,2.0156612,1.9250737,1.4594024,0.055622168,0.90158844,29.90921,0.5161823,12.593259,0.7895084,8.273677,1.6416613,10.905022,1.3003621,0.015142657,0.9611792,0.840824,0.92937106,6.5451107,0.3940007,4.8161907,1.0322323,28.787653,0.28605536,437.616,0.34258267,1248.9094,0.21605231,-82.94341,-1.0997888,1398.088,0.16921894,905.4647,0.22998889,-89.209404,-0.9478451,2507.7734,0.09054374,863.7238,0.47626403,-95.91465,-0.8199806,-18.342073,-0.54237676,29.273726,0.30262214,0.032488253,0.84577256,-0.022020988,-0.94750357,0.08064495,0.5600032,36.18212,0.34167865,14.864529,0.7310823,7.6341457,2.1760328,10.873858,1.5551795,-12.041265,20.217445,0.0027872254,-0.003912141,0.016385872,3.3742332,1.5673982,0.39,0.24633309,0.18833333,0.17343748,-41.590473,neutral
